sub_category_id,imma_id_code,order,name,description,,rec_quantity_10,rec_quantity_20,rec_quantity_30,rec_quantity_40,,comment ,,more_than_24,less_than_24 ,less_than_2 ,,dosage ,reference ,ordering_size,quantity_required 
B.001.00,B.001.01,2,"Portable oxygen set, complete containing:",,,1,1,1,1,,Appliances for the administration of Oxygen. See pages 4-5*,,,,,,,,,
B.001.00,B.001.02,3,"Oxygen cylinder, 21/200 bar",,,1,1,1,1,,Ready to use. See pages 4-5*,,,,,,,,,
B.001.00,B.001.03,4,"Spare Oxygen cylinder, 21/200 bar",,,1,1,1,1,,"If no additional equipment from the MFAG is on board,
consider increasing the amount of Oxygen to 4. See pages 4-5*",,,,,,,,,
B.001.00,B.001.04,5,"Pressure regulating unit and flow meter with 
tubes such that the ship's industrial Oxygen
can also be used",,,1,1,1,1,,See pages 4-5*,,,,,,,,,
B.001.00,B.001.05,6,"3 disposable face masks of choice: 
including a simple face mask and
non-rebreathing mask",,,1,2,3,4,,See pages 4-5*,,,,,,,,,
B.001.00,B.001.06,7,Guedel airway (Mayotube); size medium,,,1,1,1,1,,"Oropharyneal airway. See pages 4-5, 315*",,,,,,,,,
B.001.00,B.001.07,8,Guedel airway (Mayotube); size large,,,1,1,1,1,,"Oropharyneal airway. See pages 4-5, 315*",,,,,,,,,
B.001.00,B.001.08,9,Manual aspirator to clear upper airways,,,1,1,1,1,,Mechanical aspirator. See pages 4-5*,,,,,,,,,
B.001.00,B.001.09,10,Catheters for aspirator,,,2,2,2,2,,"Mechanical aspirator, different sizes. See pages 45*",,,,,,,,,
B.001.00,B.001.10,11,"Ambubag or equivalent; supplied with small, 
medium, and large masks",,,1,1,1,1,,"Bag and mask resuscitator including oxygen reservoir
bag and oxygen tubing. See pages 4-5*",,,,,,,,,
B.001.00,B.001.11,12,"Brook Airway, Lifeway, pocket mask or 
equivalent",,,1,1,1,1,,"Cannula for mouth-to-mouth resuscition, see pages 4-5*",,,,,,,,,
B.002.00,B.002.01,2,"Assorted wound plasters or plaster strips, 
water resistant",,,200,200,200,200,,Adhesive Dressings,,,,,,,,,
B.002.00,B.002.02,3,"Sterile gauze compresses, 5cm x 5cm",,,50,50,100,100,,,,,,,,,,,
B.002.00,B.002.03,4,"Sterile gauze compresses, 10cm x 10cm",,,50,50,100,100,,,,,,,,,,,
B.002.00,B.002.04,5,"Gauze roll, 5cm, 60cm or 90cm x 100m, 
non-sterile",,,1,1,1,1,,"Gauze roll, 60cm/90cm may be substituted by gauze roll
of smaller size",,,,,,,,,
B.002.00,B.002.05,6,"Non-adherent gauze dressing, 
square 10cm x 10cm",,,10,20,30,40,,,,,,,,,,,
B.002.00,B.002.06,7,"Parafin gauze dressing 10cm x 10cm, sterile",,,40,40,40,40,,Vaseline gauze,,,,,,,,,
B.002.00,B.002.07,8,"Elastic fixation bandage, 6cm x 4m",,,3,6,9,12,,Bandage,,,,,,,,,
B.002.00,B.002.08,9,"First-aid absorbent gauze-covered cotton 
pad sewn onto a cotton bandage
(ambulance dressing), small",,,5,5,10,10,,Sterile compression bandages,,,,,,,,,
B.002.00,B.002.09,10,"First-aid absorbent gauze-covered cotton 
pad sewn onto a cotton bandage
(ambulance dressing), medium",,,5,5,10,10,,Sterile compression bandages,,,,,,,,,
B.002.00,B.002.10,11,"First-aid absorbent gauze-covered cotton 
pad sewn onto a cotton bandage
(ambulance dressing), large",,,5,5,10,10,,Sterile compression bandages,,,,,,,,,
B.002.00,B.002.11,12,"Tubular gauze bandage for fingers, 5m",,,1,1,1,1,,See pages 53-58*,,,,,,,,,
B.002.00,B.002.12,13,Applicator for finger bandage,,,1,1,1,1,,See pages 53-58*,,,,,,,,,
B.002.00,B.002.13,14,Adhesive elastic bandage 6cm x 4m,,,10,10,10,10,,,,,,,,,,,
B.002.00,B.002.14,15,Triangular sling,,,5,5,5,5,,See pages 43-58 and 77*,,,,,,,,,
B.002.00,B.002.15,16,Sterile sheets for burn patients,,,2,2,4,4,,"Different sizes, see pages 79-83*",,,,,,,,,
B.002.00,B.002.16,17,Honey for dressing burns 1kg (must be purified),,,1,1,2,2,,"Only if honey for medical purposes available,
otherwise use a hydrogel burn kit, see pages 79-83*",,,,,,,,,
B.002.00,B.002.17,18,"Adhesive tape, waterproof, skin friendly, 
1.25cm x 5m",,,3,3,6,6,,Adhesive sutures or zinc oxide bandages,,,,,,,,,
B.002.00,B.002.18,19,Q-tips – wooden,,,100,100,100,100,,,,,,,,,,,
B.002.00,B.002.19,20,"Safety pins – stainless steel, 12 pieces",,,1,1,2,2,,,,,,,,,,,
B.002.00,B.002.20,21,"Butterfly sutures, Steristrip®, or 
Leukostrip®, sterile",,,50,50,50,50,,See pages 69-74*,,,,,,,,,
B.002.00,B.002.21,22,"2-octyl cyanoacrylate liquid, 0.5ml",,,1,1,1,1,,"Skin adhesive for closing small wounds,
see pages 69-74*",,,,,,,,,
B.002.00,B.002.22,23,"Sutures, absorbable with curved non-traumatic 
needles, 1-0",,,3,3,6,6,,"See pages 71-74, replace existing with non-absorbable
sutures for easier use*",,,,,,,,,
B.002.00,B.002.23,24,"Sutures, absorbable with curved non-traumatic 
needles, 3-0",,,3,3,6,6,,"See pages 71-74, replace existing with non-absorbable
sutures for easier use*",,,,,,,,,
B.002.00,B.002.24,25,"Sutures, absorbable with curved non-traumatic 
needles, 4-0 or 5-0",,,3,3,6,6,,"See pages 71-74, replace existing with non-absorbable
sutures for easier use*",,,,,,,,,
B.002.00,B.002.25,26,Disposable examination gloves size M,,,100,100,100,100,,,,,,,,,,,
B.002.00,B.002.26,27,Disposable examination gloves size L,,,100,100,100,100,,,,,,,,,,,
B.002.00,B.002.27,28,"Surgical gloves size 6.5, sterile in pairs",,,3,4,5,6,,Gloves sterile,,,,,,,,,
B.002.00,B.002.28,29,"Surgical gloves size 7.5, sterile in pairs",,,3,4,5,6,,Gloves sterile,,,,,,,,,
B.002.00,B.002.29,30,"Surgical gloves size 8.5, sterile in pairs",,,3,4,5,6,,Gloves sterile,,,,,,,,,
B.002.00,B.002.30,31,Eye pads,,,1,2,3,4,,"See pages 36, 38*",,,,,,,,,
B.003.00,B.003.01,2,"Scalpel, serile disposable",,,10,10,10,10,,"See pages 71-74, 216-219*",,,,,,,,,
B.003.00,B.003.02,3,Instrument box – stainless steel,,,1,1,1,1,,,,,,,,,,,
B.003.00,B.003.03,4,"Operating scissors, straight, stainless steel",,,1,1,1,1,,,,,,,,,,,
B.003.00,B.003.04,5,Bandage scissors,,,1,1,1,1,,,,,,,,,,,
B.003.00,B.003.05,6,"Splinter forceps, pointed, stainless steel",,,1,1,1,1,,,,,,,,,,,
B.003.00,B.003.06,7,"Teeth tissue forceps, stainless steel",,,1,1,1,1,,"See pages 71-74, 216-219*",,,,,,,,,
B.003.00,B.003.07,8,"Needle holder, Mayo Hegar 180mm, straight",,,1,1,1,1,,see pages 71-74*,,,,,,,,,
B.003.00,B.003.08,9,"Haemostatic clamp, Halstead mosquito, 
125mm, stainless steel",,,2,2,2,2,,,,,,,,,,,
